id	name	mob_1	mob_2	mob_3	mob_4	kill_count	reward_1	count_1	reward_2	count_2	reward_3	count_3	reward_4	count_4	zone	min_level	max_level
1	Worm Hunt	750	755	850	852	500	900001000	50	379021000	1	379107000	1	900128000	1	21	1	20
2	Snatcher Hunt	755	0	0	0	500	900001000	75	379021000	1	379107000	1	0	1	21	1	20
3	Bandicoot Hunt	850	0	0	0	500	900001000	100	379021000	1	379107000	1	0	1	21	1	20
4	Scavenger Bandicoot Hunt	852	0	0	0	500	900001000	150	379021000	1	379107000	1	0	1	21	1	20
5	Bulcan Hunt	250	0	0	0	500	900001000	300	379021000	1	379107000	1	0	1	21	1	20
6	Bulture Hunt	254	0	0	0	500	900001000	500	379021000	1	379107000	1	0	1	21	1	20
7	Giant Bulcan Hunt	253	0	0	0	500	900001000	600	379021000	1	379107000	1	0	1	21	1	20
8	Werewolf Hunt	550	0	0	0	500	900001000	700	379021000	1	379107000	1	0	1	21	1	20
9	Silan Hunt	257	0	0	0	500	900001000	750	379021000	1	379107000	1	0	1	21	1	20
10	Orc Watcher Hunt	1671	0	0	0	500	900001000	800	379021000	1	379107000	1	0	1	21	1	20
11	Lycan Hunt	551	0	0	0	500	900001000	100000	379021000	1	379107000	1	0	1	1	20	49
12	Loup-Garou Hunt	552	0	0	0	500	900001000	110000	379021000	1	379107000	1	0	1	1	20	49
13	Dark Eyes Hunt	554	0	0	0	500	900001000	120000	379021000	1	379107000	1	0	1	1	20	49
14	Dire Wolf Hunt	555	0	0	0	500	900001000	130000	379021000	1	379107000	1	0	1	1	20	49
15	Scorpion Hunt	950	0	0	0	500	900001000	100000	379021000	1	379107000	1	0	1	1	20	49
16	Pincer Scorpion Hunt	953	0	0	0	500	900001000	120000	379021000	1	379107000	1	0	1	1	20	49
17	Decayed Zombie Hunt	1051	0	0	0	500	900001000	130000	379021000	1	379107000	1	0	1	1	20	49
18	Undying Hunt	1054	0	0	0	500	900001000	150000	379021000	1	379107000	1	0	1	1	20	49
19	Skeleton Hunt	1150	0	0	0	500	900001000	120000	379021000	1	379107000	1	0	1	1	20	49
20	Smilodon Hunt	650	0	0	0	500	900001000	120000	379021000	1	379107000	1	0	1	1	30	49
21	Sabertooth Hunt	653	0	0	0	500	900001000	130000	379021000	1	379107000	1	0	1	1	30	49
22	Machirodus Hunt	654	0	0	0	500	900001000	150000	379021000	1	379107000	1	0	1	1	30	49
23	Megantereon Hunt	655	0	0	0	500	900001000	200000	379021000	1	379107000	1	0	1	1	30	49
24	Skeleton Knight Hunt	1152	0	0	0	500	900001000	220000	379021000	1	379107000	1	0	1	1	30	49
25	Skeleton Champion Hunt	1153	0	0	0	500	900001000	250000	379021000	1	379107000	1	0	1	1	30	49
26	Death Knight Hunt	1154	0	0	0	500	900001000	300000	379021000	1	379107000	1	0	1	1	30	49
27	Baron Hunt	1253	0	0	0	500	900001000	220000	379021000	1	379107000	1	0	1	1	30	49
28	Cardinal Hunt	1254	0	0	0	500	900001000	250000	379021000	1	379107000	1	0	1	1	30	49
29	Scolar Hunt	1250	0	0	0	500	900001000	200000	379021000	1	379107000	1	0	1	1	30	49
30	Garuna Hunt	1352	0	0	0	500	900001000	300000	379021000	1	379107000	1	0	1	1	30	49
31	Haunga Hunt	1353	0	0	0	500	900001000	250000	379021000	1	379107000	1	0	1	1	30	49
32	Haunga Warrior Hunt	1362	0	0	0	500	900001000	300000	379021000	1	379107000	1	0	1	1	30	49
33	Uruk Hai Hunt	1692	0	0	0	500	900001000	220000	379021000	1	379107000	1	0	1	1	40	49
34	Uruk Blade Hunt	1693	0	0	0	500	900001000	250000	379021000	1	379107000	1	0	1	1	40	49
35	Uruk Tron Hunt	1694	0	0	0	500	900001000	300000	379021000	1	379107000	1	0	1	1	40	49
36	Kobold Hunt	2951	0	0	0	500	900001000	150000	379021000	1	379107000	1	0	1	1	40	49
37	Bugbear Hunt	2952	0	0	0	500	900001000	170000	379021000	1	379107000	1	0	1	1	40	49
38	Pooka Hunt	2953	0	0	0	500	900001000	200000	379021000	1	379107000	1	0	1	1	40	49
39	Goblin Bouncer Hunt	2954	0	0	0	500	900001000	250000	379021000	1	379107000	1	0	1	1	40	49
40	Lamia Hunt	2051	0	0	0	500	900001000	300000	379021000	1	379107000	1	0	1	1	40	49
41	Lamiros Hunt	2052	0	0	0	500	900001000	330000	379021000	1	379107000	1	0	1	1	40	49
42	Ape Hunt	4251	0	0	0	500	900001000	200000	379021000	1	379107000	1	0	1	1	40	49
43	Tyon Hunt	4351	0	0	0	500	900001000	250000	379021000	1	379107000	1	0	1	1	40	49
44	Gray Oozy Hunt	4651	0	0	0	500	900001000	180000	379021000	1	379107000	1	0	1	1	40	49
45	Lich Hunt	4551	0	0	0	500	900001000	400000	379021000	1	379107000	1	0	1	1	40	49
46	Grell Hunt	4751	0	0	0	500	900001000	300000	379021000	1	379107000	1	0	1	1	40	49
47	Ancient Hunt	5351	0	0	0	500	900001000	250000	379021000	1	379107000	1	0	1	1	40	49
48	Treant Hunt	5451	0	0	0	500	900001000	250000	379021000	1	379107000	1	0	1	1	40	49
49	Lycan Hunt	551	0	0	0	500	900001000	500000	379021000	1	379107000	1	0	1	1	50	83
50	Loup-Garou Hunt	552	0	0	0	500	900001000	500000	379021000	1	379107000	1	0	1	1	50	83
51	Dark Eyes Hunt	554	0	0	0	500	900001000	500000	379021000	1	379107000	1	0	1	1	50	83
52	Dire Wolf Hunt	555	0	0	0	500	900001000	500000	379021000	1	379107000	1	0	1	1	50	83
53	Scorpion Hunt	950	0	0	0	500	900001000	500000	379021000	1	379107000	1	0	1	1	50	83
54	Pincer Scorpion Hunt	953	0	0	0	500	900001000	500000	379021000	1	379107000	1	0	1	1	50	83
55	Decayed Zombie Hunt	1051	0	0	0	500	900001000	500000	379021000	1	379107000	1	0	1	1	50	83
56	Undying Hunt	1054	0	0	0	500	900001000	500000	379021000	1	379107000	1	0	1	1	50	83
57	Skeleton Hunt	1150	0	0	0	500	900001000	500000	379021000	1	379107000	1	0	1	1	50	83
58	Smilodon Hunt	650	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
59	Sabertooth Hunt	653	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
60	Machirodus Hunt	654	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
61	Megantereon Hunt	655	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
62	Skeleton Knight Hunt	1152	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
63	Skeleton Champion Hunt	1153	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
64	Death Knight Hunt	1154	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
65	Baron Hunt	1253	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
66	Cardinal Hunt	1254	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
67	Scolar Hunt	1250	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
68	Garuna Hunt	1352	0	0	0	500	900001000	1000000	379021000	1	379107000	1	0	1	1	50	83
